dt_txt,Temperature,Humidity,weather,Condition
2025-10-07 15:00:00,28.47,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-07 18:00:00,28.49,75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-07 21:00:00,28.25,75,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Clouds
2025-10-08 00:00:00,27.48,77,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Clouds
2025-10-08 03:00:00,29.65,68,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-08 06:00:00,31.82,58,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-08 09:00:00,29.74,67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-08 12:00:00,29.02,72,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-08 15:00:00,28.23,75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-08 18:00:00,28.2,75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-08 21:00:00,27.77,75,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Clouds
2025-10-09 00:00:00,26.24,81,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-09 03:00:00,28.99,66,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-09 06:00:00,31.53,57,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Clouds
2025-10-09 09:00:00,29.19,69,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-09 12:00:00,28.97,72,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-09 15:00:00,28.85,73,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-09 18:00:00,28.76,72,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-09 21:00:00,27.72,75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-10 00:00:00,26.92,78,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-10 03:00:00,28.0,73,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-10 06:00:00,31.36,58,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-10 09:00:00,28.95,69,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-10 12:00:00,29.02,69,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-10 15:00:00,28.22,75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-10 18:00:00,27.38,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-10 21:00:00,26.76,77,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-11 00:00:00,25.04,88,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-11 03:00:00,26.88,78,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-11 06:00:00,30.67,61,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Clouds
2025-10-11 09:00:00,30.96,59,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Clouds
2025-10-11 12:00:00,28.81,70,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Clouds
2025-10-11 15:00:00,28.25,73,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-11 18:00:00,27.06,78,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-11 21:00:00,26.24,78,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Rain
2025-10-12 00:00:00,25.54,78,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Clouds
2025-10-12 03:00:00,28.06,66,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Clouds
2025-10-12 06:00:00,30.92,58,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Clouds
2025-10-12 09:00:00,29.45,67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
2025-10-12 12:00:00,28.28,73,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Rain
